X,Y,Z,body,wl,wr
40,26,15,1,0,0
40,26,16,1,0,0
40,26,17,1,0,0
40,26,18,1,0,0
40,26,19,1,0,0
40,26,20,1,0,0
40,26,21,1,0,0
40,26,22,1,0,0
40,27,11,1,0,0
40,27,12,1,0,0
40,27,13,1,0,0
40,27,14,1,0,0
40,27,15,1,0,0
40,27,16,1,0,0
40,27,17,1,0,0
40,27,18,1,0,0
40,27,19,1,0,0
40,27,20,1,0,0
40,27,21,1,0,0
40,27,22,1,0,0
40,27,23,1,0,0
40,28,11,1,0,0
40,28,12,1,0,0
40,28,13,1,0,0
40,28,14,1,0,0
40,28,15,1,0,0
40,28,16,1,0,0
40,28,17,1,0,0
40,28,18,1,0,0
40,28,19,1,0,0
40,28,20,1,0,0
40,28,21,1,0,0
40,28,22,1,0,0
40,29,11,1,0,0
40,29,12,1,0,0
40,29,13,1,0,0
40,29,14,1,0,0
40,29,15,1,0,0
40,29,16,1,0,0
40,29,17,1,0,0
40,29,18,1,0,0
40,29,19,1,0,0
40,29,20,1,0,0
40,29,21,1,0,0
40,29,22,1,0,0
40,29,23,1,0,0
40,30,11,1,0,0
40,30,12,1,0,0
40,30,13,1,0,0
40,30,14,1,0,0
40,30,15,1,0,0
40,30,16,1,0,0
40,30,17,1,0,0
40,30,18,1,0,0
40,30,19,1,0,0
40,30,20,1,0,0
40,30,21,1,0,0
40,30,22,1,0,0
40,31,10,1,0,0
40,31,11,1,0,0
40,31,12,1,0,0
40,31,13,1,0,0
40,31,14,1,0,0
40,31,15,1,0,0
40,31,16,1,0,0
40,31,17,1,0,0
40,31,18,1,0,0
40,31,19,1,0,0
40,31,20,1,0,0
40,31,21,1,0,0
40,31,22,1,0,0
40,31,23,1,0,0
40,32,8,1,0,0
40,32,10,1,0,0
40,32,11,1,0,0
40,32,12,1,0,0
40,32,13,1,0,0
40,32,14,1,0,0
40,32,15,1,0,0
40,32,16,1,0,0
40,32,17,1,0,0
40,32,18,1,0,0
40,32,19,1,0,0
40,32,20,1,0,0
40,32,21,1,0,0
40,32,22,1,0,0
40,32,23,1,0,0
40,33,9,1,0,0
40,33,11,1,0,0
40,33,12,1,0,0
40,33,13,1,0,0
40,33,14,1,0,0
40,33,15,1,0,0
40,33,16,1,0,0
40,33,17,1,0,0
40,33,18,1,0,0
40,33,19,1,0,0
40,33,20,1,0,0
40,33,21,1,0,0
40,33,22,1,0,0
40,33,23,1,0,0
40,34,10,1,0,0
40,34,11,1,0,0
40,34,12,1,0,0
40,34,13,1,0,0
40,34,14,1,0,0
40,34,15,1,0,0
40,34,16,1,0,0
40,34,17,1,0,0
40,34,18,1,0,0
40,34,19,1,0,0
40,34,20,1,0,0
40,34,21,1,0,0
40,34,22,1,0,0
40,34,23,1,0,0
41,20,17,1,0,0
41,20,18,1,0,0
41,20,19,1,0,0
41,21,9,1,0,0
41,21,10,1,0,0
41,21,11,1,0,0
41,21,12,1,0,0
41,21,13,1,0,0
41,21,14,1,0,0
41,21,15,1,0,0
41,21,16,1,0,0
41,21,17,1,0,0
41,21,18,1,0,0
41,21,19,1,0,0
41,21,20,1,0,0
41,22,9,1,0,0
41,22,10,1,0,0
41,22,11,1,0,0
41,22,12,1,0,0
41,22,13,1,0,0
41,22,14,1,0,0
41,22,15,1,0,0
41,22,16,1,0,0
41,22,17,1,0,0
41,22,18,1,0,0
41,22,19,1,0,0
41,22,20,1,0,0
41,22,21,1,0,0
41,23,10,1,0,0
41,23,11,1,0,0
41,23,12,1,0,0
41,23,13,1,0,0
41,23,14,1,0,0
41,23,15,1,0,0
41,23,16,1,0,0
41,23,17,1,0,0
41,23,18,1,0,0
41,23,19,1,0,0
41,23,20,1,0,0
41,23,21,1,0,0
41,24,10,1,0,0
41,24,11,1,0,0
41,24,12,1,0,0
41,24,13,1,0,0
41,24,14,1,0,0
41,24,15,1,0,0
41,24,16,1,0,0
41,24,17,1,0,0
41,24,18,1,0,0
41,24,19,1,0,0
41,24,20,1,0,0
41,24,21,1,0,0
41,24,22,1,0,0
41,25,11,1,0,0
41,25,12,1,0,0
41,25,13,1,0,0
41,25,14,1,0,0
41,25,15,1,0,0
41,25,16,1,0,0
41,25,17,1,0,0
41,25,18,1,0,0
41,25,19,1,0,0
41,25,20,1,0,0
41,25,21,1,0,0
41,25,22,1,0,0
41,26,11,1,0,0
41,26,12,1,0,0
41,26,13,1,0,0
41,26,14,1,0,0
41,26,15,1,0,0
41,26,16,1,0,0
41,26,17,1,0,0
41,26,18,1,0,0
41,26,19,1,0,0
41,26,20,1,0,0
41,26,21,1,0,0
41,26,22,1,0,0
41,27,11,1,0,0
41,27,12,1,0,0
41,27,13,1,0,0
41,27,14,1,0,0
41,27,15,1,0,0
41,27,16,1,0,0
41,27,17,1,0,0
41,27,18,1,0,0
41,27,19,1,0,0
41,27,20,1,0,0
41,27,21,1,0,0
41,27,22,1,0,0
41,28,11,1,0,0
41,28,12,1,0,0
41,28,13,1,0,0
41,28,14,1,0,0
41,28,15,1,0,0
41,28,16,1,0,0
41,28,17,1,0,0
41,28,18,1,0,0
41,28,19,1,0,0
41,28,20,1,0,0
41,28,21,1,0,0
41,28,22,1,0,0
41,28,23,1,0,0
